City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Cabo San Lucas,MX,72.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro
7,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Rikitea,PF,79.61,clear sky,-23.1203,-134.9692,People ThankYou
17,Banda Aceh,ID,75.54,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
19,Atuona,PF,78.85,clear sky,-9.8,-139.0333,Villa Enata
21,Hithadhoo,MV,81.01,overcast clouds,-0.6,73.0833,Scoop Guest House
22,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
26,Mar Del Plata,AR,71.94,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
28,Puerto Ayora,EC,77.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
32,Diamantino,BR,74.62,overcast clouds,-14.4086,-56.4461,Hotel Delta
36,Arraial Do Cabo,BR,75.63,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
37,Venado Tuerto,AR,80.76,broken clouds,-33.7456,-61.9688,La Bianca.
49,Miraflores,MX,74.03,clear sky,19.2167,-98.8083,Hotel Mansión
51,Biak,ID,76.1,light rain,-0.9131,122.8766,Penginapan Kim
53,Hobart,AU,74.26,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
54,Caravelas,BR,78.89,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
57,Coahuayana,MX,83.68,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
63,Antalaha,MG,76.53,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
64,Christchurch,NZ,72.41,broken clouds,-43.5333,172.6333,The George
70,Butaritari,KI,80.85,light rain,3.0707,172.7902,Isles Sunset Lodge
75,Buala,SB,81.09,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
78,Calabazar De Sagua,CU,74.16,moderate rain,22.6447,-79.8961,Hostal La Terraza
79,Bambous Virieux,MU,73.22,light rain,-20.3428,57.7575,Casa Tia Villa
81,New Norfolk,AU,73.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
91,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
92,Mahebourg,MU,73.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Emerald,AU,80.35,clear sky,-23.5333,148.1667,Emerald Inn
114,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
115,Bengkulu,ID,74.17,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
117,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
119,Cabinda,AO,78.21,overcast clouds,-5.55,12.2,Hotel Maiombe
123,Avarua,CK,82.45,clear sky,-21.2078,-159.775,Paradise Inn
124,Manzanillo,CU,80.64,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
125,Cusuna,HN,79.52,broken clouds,15.85,-85.2333,San Francisco de la paz
126,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
129,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
131,Ahipara,NZ,72.77,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
135,Aba,NG,80.46,scattered clouds,5.1066,7.3667,Mickeys Guest House
136,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
137,Bubaque,GW,74.91,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
