City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mantua,IT,45.1667,10.7833,45.64,91,100,4.29,moderate rain
1,Jamestown,US,42.097,-79.2353,31.59,50,0,3.44,clear sky
2,Barcelos,PT,41.5388,-8.6151,44.69,77,0,5.61,clear sky
3,Vardo,NO,70.3705,31.1107,30.18,74,100,28.77,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,46.96,62,79,5.48,light rain
5,Cape Town,ZA,-33.9258,18.4232,61.92,59,48,7.0,scattered clouds
6,Cabo San Lucas,MX,22.8909,-109.9124,72.52,57,40,11.5,scattered clouds
7,Kapaa,US,22.0752,-159.319,82.72,73,20,6.91,light rain
8,Rikitea,PF,-23.1203,-134.9692,79.61,75,3,16.82,clear sky
9,Ribeira Grande,PT,38.5167,-28.7,58.77,87,2,8.99,clear sky
10,Oksovskiy,RU,62.6062,39.8984,16.93,98,88,5.12,overcast clouds
11,Okhotsk,RU,59.3833,143.3,-6.05,87,100,13.53,overcast clouds
12,Darnah,LY,32.767,22.6367,57.51,87,17,13.98,few clouds
13,Balkhash,KZ,46.844,74.9804,-7.22,98,17,7.02,few clouds
14,Provideniya,RU,64.3833,-173.3,5.11,61,1,20.13,clear sky
15,Port Alfred,ZA,-33.5906,26.891,66.18,78,100,5.99,light rain
16,Adrar,MR,20.5022,-10.0711,67.77,16,28,9.48,scattered clouds
17,Banda Aceh,ID,5.5577,95.3222,75.54,86,85,9.48,overcast clouds
18,Barrow,US,71.2906,-156.7887,-9.38,77,0,20.71,haze
19,Atuona,PF,-9.8,-139.0333,78.85,76,2,17.87,clear sky
20,Chumikan,RU,54.7183,135.315,-28.71,87,95,15.79,overcast clouds
21,Hithadhoo,MV,-0.6,73.0833,81.01,75,100,13.38,overcast clouds
22,Georgetown,MY,5.4112,100.3354,76.95,88,20,0.0,few clouds
23,Zhezkazgan,KZ,47.8043,67.7144,-9.99,100,34,5.23,scattered clouds
24,Bredasdorp,ZA,-34.5322,20.0403,58.98,55,58,2.95,broken clouds
25,Shimoda,JP,34.6667,138.95,29.1,45,0,25.5,clear sky
26,Mar Del Plata,AR,-38.0023,-57.5575,71.94,82,78,5.99,broken clouds
27,Punta Arenas,CL,-53.15,-70.9167,51.12,53,75,16.11,broken clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,77.56,93,80,4.0,broken clouds
29,Bluff,NZ,-46.6,168.3333,56.5,72,32,2.62,scattered clouds
30,Tautira,PF,-17.7333,-149.15,80.62,81,100,16.15,light rain
31,Columbus,US,39.9612,-82.9988,36.12,83,0,0.0,clear sky
32,Diamantino,BR,-14.4086,-56.4461,74.62,92,96,2.44,overcast clouds
33,Agadez,NE,19.75,10.25,69.48,13,0,7.0,clear sky
34,Chowchilla,US,37.123,-120.2602,61.02,51,0,0.0,clear sky
35,Ucluelet,CA,48.9329,-125.5528,48.51,94,100,1.99,overcast clouds
36,Arraial Do Cabo,BR,-22.9661,-42.0278,75.63,88,100,7.61,overcast clouds
37,Venado Tuerto,AR,-33.7456,-61.9688,80.76,38,52,5.17,broken clouds
38,Abnub,EG,27.2696,31.1511,57.07,62,0,7.31,clear sky
39,Cherskiy,RU,68.75,161.3,-25.49,97,100,1.97,overcast clouds
40,Golden,US,39.7555,-105.2211,32.97,59,75,6.91,broken clouds
41,Formosa,AR,-26.1775,-58.1781,92.21,26,4,6.08,clear sky
42,Raton,US,36.9034,-104.4391,28.33,59,75,21.85,broken clouds
43,Necochea,AR,-38.5473,-58.7368,62.96,76,81,19.19,broken clouds
44,Albany,US,42.6001,-73.9662,34.88,83,78,9.46,broken clouds
45,Qaanaaq,GL,77.484,-69.3632,-8.19,61,23,8.63,few clouds
46,East London,ZA,-33.0153,27.9116,68.2,88,98,16.89,light rain
47,Mataura,NZ,-46.1927,168.8643,68.25,46,22,3.11,few clouds
48,Chuy,UY,-33.6971,-53.4616,69.85,58,44,9.64,scattered clouds
49,Miraflores,MX,19.2167,-98.8083,74.03,33,6,4.81,clear sky
50,Kaitangata,NZ,-46.2817,169.8464,64.67,60,14,2.59,few clouds
51,Biak,ID,-0.9131,122.8766,76.1,87,100,5.93,light rain
52,Victoria,HK,22.2855,114.1577,52.25,56,100,15.99,overcast clouds
53,Hobart,AU,-42.8794,147.3294,74.26,68,20,8.05,few clouds
54,Caravelas,BR,-17.7125,-39.2481,78.89,86,88,12.12,overcast clouds
55,Muros,ES,42.7762,-9.0603,51.1,68,3,14.07,clear sky
56,Huilong,CN,31.8111,121.655,20.93,56,41,7.63,scattered clouds
57,Coahuayana,MX,18.7333,-103.6833,83.68,43,0,7.09,clear sky
58,Enkoping,SE,59.6361,17.0777,39.06,97,100,11.48,overcast clouds
59,Chokurdakh,RU,70.6333,147.9167,-24.36,96,100,2.55,overcast clouds
60,Den Helder,NL,52.9599,4.7593,33.98,93,100,2.3,mist
61,Port Lincoln,AU,-34.7333,135.8667,65.5,70,0,3.18,clear sky
62,Lebu,CL,-37.6167,-73.65,59.5,68,3,15.99,clear sky
63,Antalaha,MG,-14.9003,50.2788,76.53,84,100,3.71,overcast clouds
64,Christchurch,NZ,-43.5333,172.6333,72.41,72,75,18.41,broken clouds
65,Tres Marias,MX,19.0522,-99.2431,68.47,28,6,7.16,clear sky
66,Sur,OM,22.5667,59.5289,65.01,56,40,9.53,scattered clouds
67,Mandurah,AU,-32.55,115.7,66.06,72,0,14.32,clear sky
68,Raudeberg,NO,61.9875,5.1352,47.86,2,100,37.67,light rain
69,Glens Falls,US,43.3095,-73.644,35.33,91,73,1.99,broken clouds
70,Butaritari,KI,3.0707,172.7902,80.85,79,47,18.75,light rain
71,Upernavik,GL,72.7868,-56.1549,14.86,92,100,20.56,overcast clouds
72,Amapa,BR,1.0,-52.0,71.4,98,90,3.02,overcast clouds
73,Airai,TL,-8.9266,125.4092,64.42,84,93,0.43,overcast clouds
74,Fortuna,US,40.5982,-124.1573,61.14,67,0,4.61,clear sky
75,Buala,SB,-8.145,159.5921,81.09,80,100,8.05,overcast clouds
76,Goderich,CA,43.7501,-81.7165,34.92,76,96,6.6,overcast clouds
77,Sakaiminato,JP,35.55,133.2333,32.7,64,100,23.98,light snow
78,Calabazar De Sagua,CU,22.6447,-79.8961,74.16,75,0,11.83,moderate rain
